site_id,irradiance_only,irr_time,weather_only,weather_time,weather_irr,all,t_loo,t_integrated
103941,246.53454059746028,225.47661538811195,443.82070257199786,333.60860686569765,230.7348874036933,214.28245440820254,1408.2972360389515,962.8528126514838
787197,458.7410060720904,441.87540563075515,676.0958136376333,493.18982982796064,420.689423336641,414.3469818947617,1139.2750250727227,1051.837167615847
238320,406.7687781901072,400.2950237327996,215.15879651488186,194.18444442611874,180.5393308107024,179.06250341981297,1216.4355001303763,1046.1163321081
349060,195.15302022726303,195.41866196540292,366.22730113922296,277.76497556969366,173.51485755878724,172.41863355701454,1063.1477726268208,906.9070977007027
477834,185.2257382345712,182.27305072434925,180.99024323285667,165.60392711941222,146.00738118813214,141.26514140128373,1084.9754568545598,1027.294536521154
641826,1415.1250923641476,1356.6452919138146,1400.2752531664996,1340.8904272906461,1129.7098090315014,1074.4842284177632,1892.605356556824,1740.6710722212752
896164,169.8214445923299,173.1075162921112,213.16646209119926,209.29781309321913,165.40158556031983,166.99799530605776,977.995193048718,936.944872710768
717193,2452.825849316585,2423.531521476545,2755.743479714477,2454.798065923424,2235.5887555849486,2228.444874607221,3167.1093574114407,3074.4595447081306
627759,661.8454731776508,562.3206080652119,1158.9787214420785,830.920465659823,604.447385205692,553.5483120034739,987.7530501148167,943.8624366658786
569932,1144.5873015886368,1107.5876951564887,912.2950124416108,824.118051949295,742.7787558828187,714.9506261046323,1280.3913077875632,1185.0813941042493
466851,391.53098414205215,388.71066879160287,387.0331108112414,351.7795147750589,325.6885096119816,314.31642309408437,803.562977891609,777.2674308122449
256177,1250.5325432594395,1007.6464410306556,1464.8970829752066,1117.6509834184362,1103.7000171020995,967.4493988194487,4347.582603032601,2328.2487945962675
505347,2176.078319151456,1857.7897212209466,3596.918497650173,2653.043742718768,2004.3027577827875,1799.138929435086,6092.258390179316,5290.500365099996
